experiment,TP,FP,TN,FN,Precision,Recall,F1
certain-O0-clean,29,128,-1,9,0.1847,0.7632,0.2974
certain-O1-clean,25,73,-1,13,0.2551,0.6579,0.3676
certain-O5-clean,21,28,-1,17,0.4286,0.5526,0.4828
certain-O9-clean,19,15,-1,19,0.5588,0.5000,0.5278
possible-O0-clean,35,218,-1,3,0.1383,0.9211,0.2405
possible-O1-clean,30,73,-1,8,0.2913,0.7895,0.4255
possible-O5-clean,26,42,-1,12,0.3824,0.6842,0.4906
possible-O9-clean,24,15,-1,14,0.6154,0.6316,0.6234
certain-O0-1dirt,30,863,-1,8,0.0336,0.7895,0.0644
certain-O1-1dirt,26,107,-1,12,0.1955,0.6842,0.3041
certain-O5-1dirt,22,30,-1,16,0.4231,0.5789,0.4889
certain-O9-1dirt,20,16,-1,18,0.5556,0.5263,0.5405
possible-O0-1dirt,36,1300,-1,2,0.0269,0.9474,0.0524
possible-O1-1dirt,31,82,-1,7,0.2743,0.8158,0.4106
possible-O5-1dirt,27,45,-1,11,0.3750,0.7105,0.4909
possible-O9-1dirt,25,16,-1,13,0.6098,0.6579,0.6329
certain-O0-5dirt,33,4268,-1,5,0.0077,0.8684,0.0152
certain-O1-5dirt,28,150,-1,10,0.1573,0.7368,0.2593
certain-O5-5dirt,24,41,-1,14,0.3692,0.6316,0.4660
certain-O9-5dirt,22,17,-1,16,0.5641,0.5789,0.5714
possible-O0-5dirt,36,5074,-1,2,0.0070,0.9474,0.0140
possible-O1-5dirt,31,96,-1,7,0.2441,0.8158,0.3758
possible-O5-5dirt,27,49,-1,11,0.3553,0.7105,0.4737
possible-O9-5dirt,25,17,-1,13,0.5952,0.6579,0.6250
certain-O0-10dirt,35,7040,-1,3,0.0049,0.9211,0.0098
certain-O1-10dirt,30,198,-1,8,0.1316,0.7895,0.2256
certain-O5-10dirt,25,57,-1,13,0.3049,0.6579,0.4167
certain-O9-10dirt,23,18,-1,15,0.5610,0.6053,0.5823
possible-O0-10dirt,36,8648,-1,2,0.0041,0.9474,0.0083
possible-O1-10dirt,31,118,-1,7,0.2081,0.8158,0.3316
possible-O5-10dirt,27,53,-1,11,0.3375,0.7105,0.4576
possible-O9-10dirt,25,17,-1,13,0.5952,0.6579,0.6250
primary key,12,1,-1,26,0.9231,0.3158,0.4706
