Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
coachID,0.0585,1.0000,0.0010
year,0.0000,1.0000,0.0010
tmID,0.0105,1.0000,0.0020
lgID,0.0000,1.0000,0.0030
stint,0.0000,1.0000,0.0010
g,0.0017,0.9994,0.0020
w,0.0022,0.9994,0.0020
l,0.0022,0.9994,0.0020
t,0.0011,0.9994,0.0020
postg,0.4884,0.5116,0.0020
"coachID, year",0.9845,1.0000,0.0020
"coachID, tmID",0.1391,1.0000,0.0020
"coachID, lgID",0.0690,1.0000,0.0030
"coachID, stint",0.1325,1.0000,0.0020
"coachID, g",0.4498,0.9994,0.0030
"coachID, w",0.7765,0.9994,0.0030
"coachID, l",0.7605,0.9994,0.0040
"coachID, t",0.5960,0.9994,0.0030
"coachID, postg",0.8063,0.5116,0.0030
"year, tmID",0.6909,1.0000,0.0020
"year, lgID",0.0000,1.0000,0.0030
"year, stint",0.0204,1.0000,0.0010
"year, g",0.2765,0.9994,0.0030
"year, w",0.5949,0.9994,0.0030
"year, l",0.5298,0.9994,0.0020
"year, t",0.2384,0.9994,0.0020
"year, postg",0.7274,0.5116,0.0030
"tmID, lgID",0.0105,1.0000,0.0030
"tmID, stint",0.0315,1.0000,0.0020
"tmID, g",0.3140,0.9994,0.0030
"tmID, w",0.4089,0.9994,0.0030
"tmID, l",0.3869,0.9994,0.0040
"tmID, t",0.1711,0.9994,0.0030
"tmID, postg",0.6275,0.5116,0.0030
"lgID, stint",0.0006,1.0000,0.0030
"lgID, g",0.0166,0.9994,0.0030
"lgID, w",0.0166,0.9994,0.0030
"lgID, l",0.0210,0.9994,0.0030
"lgID, t",0.0022,0.9994,0.0030
"lgID, postg",0.4934,0.5116,0.0030
"stint, g",0.0287,0.9994,0.0020
"stint, w",0.0116,0.9994,0.0020
"stint, l",0.0099,0.9994,0.0020
"stint, t",0.0028,0.9994,0.0030
"stint, postg",0.4945,0.5116,0.0030
"g, w",0.2191,0.9994,0.0050
"g, l",0.2185,0.9994,0.0020
"g, t",0.1181,0.9994,0.0030
"g, postg",0.5668,0.5110,0.0030
"w, l",0.3096,0.9994,0.0020
"w, t",0.1358,0.9994,0.0020
"w, postg",0.6280,0.5110,0.0020
"l, t",0.1231,0.9994,0.0030
"l, postg",0.6159,0.5110,0.0030
"t, postg",0.5602,0.5110,0.0020
"coachID, year, tmID",0.9945,1.0000,0.0020
"coachID, year, lgID",0.9845,1.0000,0.0040
"coachID, year, stint",1.0000,1.0000,0.0030
"coachID, year, g",1.0000,0.9994,0.0040
"coachID, year, w",1.0000,0.9994,0.0030
"coachID, year, l",0.9989,0.9994,0.0030
"coachID, year, t",0.9989,0.9994,0.0040
"coachID, year, postg",1.0000,0.5116,0.0030
"coachID, tmID, lgID",0.1391,1.0000,0.0040
"coachID, tmID, stint",0.2362,1.0000,0.0030
"coachID, tmID, g",0.4994,0.9994,0.0040
"coachID, tmID, w",0.8620,0.9994,0.0040
"coachID, tmID, l",0.8604,0.9994,0.0040
"coachID, tmID, t",0.7439,0.9994,0.0050
"coachID, tmID, postg",0.8664,0.5116,0.0040
"coachID, lgID, stint",0.1440,1.0000,0.0040
"coachID, lgID, g",0.4586,0.9994,0.0040
"coachID, lgID, w",0.7886,0.9994,0.0040
"coachID, lgID, l",0.7726,0.9994,0.0040
"coachID, lgID, t",0.6076,0.9994,0.0050
"coachID, lgID, postg",0.8107,0.5116,0.0030
"coachID, stint, g",0.4542,0.9994,0.0030
"coachID, stint, w",0.7975,0.9994,0.0040
"coachID, stint, l",0.7848,0.9994,0.0040
"coachID, stint, t",0.6446,0.9994,0.0030
"coachID, stint, postg",0.8278,0.5116,0.0030
"coachID, g, w",0.8802,0.9994,0.0040
"coachID, g, l",0.8720,0.9994,0.0040
"coachID, g, t",0.7969,0.9994,0.0030
"coachID, g, postg",0.8990,0.5110,0.0030
