Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
playerID,0.0535,1.0000,0.0030
year,0.0000,1.0000,0.0030
tmID,0.0019,1.0000,0.0049
lgID,0.0000,1.0000,0.0060
GP,0.0054,0.9951,0.0090
Min,0.3359,0.9951,0.0070
W,0.0054,0.9951,0.0100
L,0.0061,0.9951,0.0060
GA,0.0094,0.9951,0.0060
stint,0.0000,1.0000,0.0030
"playerID, year",0.8899,1.0000,0.0070
"playerID, tmID",0.1982,1.0000,0.0120
"playerID, lgID",0.0612,1.0000,0.0070
"playerID, GP",0.7910,0.9951,0.0130
"playerID, Min",0.9778,0.9951,0.0100
"playerID, W",0.6704,0.9951,0.0090
"playerID, L",0.6753,0.9951,0.0100
"playerID, GA",0.9446,0.9951,0.0100
"playerID, stint",0.0823,1.0000,0.0050
"year, tmID",0.0477,1.0000,0.0040
"year, lgID",0.0000,1.0000,0.0060
"year, GP",0.3424,0.9951,0.0080
"year, Min",0.9163,0.9951,0.0080
"year, W",0.2174,0.9951,0.0080
"year, L",0.1814,0.9951,0.0080
"year, GA",0.6697,0.9951,0.0090
"year, stint",0.0040,1.0000,0.0040
"tmID, lgID",0.0019,1.0000,0.0070
"tmID, GP",0.2637,0.9951,0.0090
"tmID, Min",0.8876,0.9951,0.0110
"tmID, W",0.1671,0.9951,0.0120
"tmID, L",0.1583,0.9951,0.0100
"tmID, GA",0.5428,0.9951,0.0100
"tmID, stint",0.0070,1.0000,0.0050
"lgID, GP",0.0110,0.9951,0.0070
"lgID, Min",0.4196,0.9951,0.0090
"lgID, W",0.0094,0.9951,0.0070
"lgID, L",0.0105,0.9951,0.0080
"lgID, GA",0.0500,0.9951,0.0080
"lgID, stint",0.0007,1.0000,0.0060
"GP, Min",0.6554,0.9951,0.0080
"GP, W",0.1019,0.9951,0.0080
"GP, L",0.1059,0.9951,0.0080
"GP, GA",0.3691,0.9951,0.0080
"GP, stint",0.0091,0.9951,0.0070
"Min, W",0.7302,0.9951,0.0090
"Min, L",0.7436,0.9951,0.0090
"Min, GA",0.8597,0.9951,0.0090
"Min, stint",0.3784,0.9951,0.0070
"W, L",0.0776,0.9951,0.0080
"W, GA",0.3446,0.9951,0.0080
"W, stint",0.0077,0.9951,0.0060
"L, GA",0.2443,0.9951,0.0080
"L, stint",0.0075,0.9951,0.0060
"GA, stint",0.0220,0.9951,0.0389
"playerID, year, tmID",0.9995,1.0000,0.0987
"playerID, year, lgID",0.8932,1.0000,0.2045
"playerID, year, GP",0.9949,0.9951,0.1616
"playerID, year, Min",1.0000,0.9951,0.0289
"playerID, year, W",0.9916,0.9951,0.0269
"playerID, year, L",0.9958,0.9951,0.0259
"playerID, year, GA",0.9977,0.9951,0.0269
"playerID, year, stint",1.0000,1.0000,0.0110
"playerID, tmID, lgID",0.1982,1.0000,0.0309
"playerID, tmID, GP",0.8873,0.9951,0.0289
"playerID, tmID, Min",0.9850,0.9951,0.0459
"playerID, tmID, W",0.8474,0.9951,0.0219
"playerID, tmID, L",0.8457,0.9951,0.0239
"playerID, tmID, GA",0.9797,0.9951,0.0229
"playerID, tmID, stint",0.2436,1.0000,0.0140
"playerID, lgID, GP",0.8001,0.9951,0.0180
"playerID, lgID, Min",0.9778,0.9951,0.0229
"playerID, lgID, W",0.6847,0.9951,0.0209
"playerID, lgID, L",0.6893,0.9951,0.0199
"playerID, lgID, GA",0.9460,0.9951,0.0130
"playerID, lgID, stint",0.0916,1.0000,0.0120
"playerID, GP, Min",0.9801,0.9951,0.0160
"playerID, GP, W",0.9467,0.9951,0.0229
"playerID, GP, L",0.9554,0.9951,0.0150
"playerID, GP, GA",0.9881,0.9951,0.0160
"playerID, GP, stint",0.8128,0.9951,0.0120
"playerID, Min, W",0.9928,0.9951,0.0140
"playerID, Min, L",0.9935,0.9951,0.0130
"playerID, Min, GA",0.9981,0.9951,0.0140
"playerID, Min, stint",0.9787,0.9951,0.0150
"playerID, W, L",0.9558,0.9951,0.0130
"playerID, W, GA",0.9862,0.9951,0.0140
"playerID, W, stint",0.7059,0.9951,0.0109
