Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
year,0.0024,1.0000,0.0010
tmIDWinner,0.0132,1.0000,0.0030
tmIDLoser,0.0240,1.0000,0.0020
round,0.0012,1.0000,0.0020
series,0.1118,0.8882,0.0020
lgIDWinner,0.0000,1.0000,0.0020
lgIDLoser,0.0000,1.0000,0.0020
GoalsWinner,0.0036,1.0000,0.0020
GoalsLoser,0.0024,1.0000,0.0020
note,0.9327,0.0709,0.0010
"year, tmIDWinner",0.2800,1.0000,0.0020
"year, tmIDLoser",0.9928,1.0000,0.0020
"year, round",0.1394,1.0000,0.0020
"year, series",1.0000,0.8882,0.0020
"year, lgIDWinner",0.0144,1.0000,0.0020
"year, lgIDLoser",0.0144,1.0000,0.0020
"year, GoalsWinner",0.5553,1.0000,0.0020
"year, GoalsLoser",0.6034,1.0000,0.0020
"year, note",0.9387,0.0709,0.0010
"tmIDWinner, tmIDLoser",0.2921,1.0000,0.0020
"tmIDWinner, round",0.1094,1.0000,0.0020
"tmIDWinner, series",0.2284,0.8882,0.0030
"tmIDWinner, lgIDWinner",0.0132,1.0000,0.0020
"tmIDWinner, lgIDLoser",0.0349,1.0000,0.0020
"tmIDWinner, GoalsWinner",0.3401,1.0000,0.0020
"tmIDWinner, GoalsLoser",0.3233,1.0000,0.0020
"tmIDWinner, note",0.9435,0.0709,0.0010
"tmIDLoser, round",0.1286,1.0000,0.0020
"tmIDLoser, series",0.2464,0.8882,0.0020
"tmIDLoser, lgIDWinner",0.0373,1.0000,0.0030
"tmIDLoser, lgIDLoser",0.0240,1.0000,0.0020
"tmIDLoser, GoalsWinner",0.3618,1.0000,0.0020
"tmIDLoser, GoalsLoser",0.3654,1.0000,0.0030
"tmIDLoser, note",0.9435,0.0709,0.0010
"round, series",0.1118,0.8882,0.0020
"round, lgIDWinner",0.0036,1.0000,0.0020
"round, lgIDLoser",0.0024,1.0000,0.0020
"round, GoalsWinner",0.0733,1.0000,0.0020
"round, GoalsLoser",0.0733,1.0000,0.0020
"round, note",0.9339,0.0709,0.0020
"series, lgIDWinner",0.1118,0.8882,0.0020
