Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
year,0.0000,1.0000,0.0110
lgID,0.0000,1.0000,0.0259
tmID,0.0000,1.0000,0.0199
oppID,0.0000,1.0000,0.0139
W,0.0000,1.0000,0.0239
L,0.0000,1.0000,0.0219
T,0.2203,0.7797,0.0219
OTL,0.6143,0.3857,0.0219
"year, lgID",0.0000,1.0000,0.0290
"year, tmID",0.0000,1.0000,0.0140
"year, oppID",0.0000,1.0000,0.0209
"year, W",0.0039,1.0000,0.0239
"year, L",0.0041,1.0000,0.0259
"year, T",0.2203,0.7797,0.0239
"year, OTL",0.6145,0.3857,0.0239
"lgID, tmID",0.0000,1.0000,0.0359
"lgID, oppID",0.0000,1.0000,0.0409
"lgID, W",0.0002,1.0000,0.0329
"lgID, L",0.0002,1.0000,0.0319
"lgID, T",0.2203,0.7797,0.0299
"lgID, OTL",0.6143,0.3857,0.0269
"tmID, oppID",0.0178,1.0000,0.0269
"tmID, W",0.0050,1.0000,0.0319
"tmID, L",0.0057,1.0000,0.0299
"tmID, T",0.2224,0.7797,0.0270
"tmID, OTL",0.6150,0.3857,0.0239
"oppID, W",0.0056,1.0000,0.0319
"oppID, L",0.0050,1.0000,0.0299
"oppID, T",0.2224,0.7797,0.0279
"oppID, OTL",0.6148,0.3857,0.0239
"W, L",0.0005,1.0000,0.0299
"W, T",0.2208,0.7797,0.0249
"W, OTL",0.6144,0.3857,0.0249
"L, T",0.2208,0.7797,0.0249
"L, OTL",0.6144,0.3857,0.0239
"T, OTL",0.8347,0.1654,0.0219
"year, lgID, tmID",0.0000,1.0000,0.0369
"year, lgID, oppID",0.0000,1.0000,0.0369
"year, lgID, W",0.0056,1.0000,0.0369
"year, lgID, L",0.0058,1.0000,0.0369
"year, lgID, T",0.2203,0.7797,0.0329
"year, lgID, OTL",0.6145,0.3857,0.0269
"year, tmID, oppID",1.0000,1.0000,0.0229
"year, tmID, W",0.0871,1.0000,0.0359
"year, tmID, L",0.0859,1.0000,0.0359
"year, tmID, T",0.2602,0.7797,0.0319
"year, tmID, OTL",0.6206,0.3857,0.0259
"year, oppID, W",0.0875,1.0000,0.0359
"year, oppID, L",0.0861,1.0000,0.0359
"year, oppID, T",0.2602,0.7797,0.0319
"year, oppID, OTL",0.6205,0.3857,0.0259
"year, W, L",0.0292,1.0000,0.0299
"year, W, T",0.2438,0.7797,0.0280
"year, W, OTL",0.6157,0.3857,0.0259
"year, L, T",0.2439,0.7797,0.0289
"year, L, OTL",0.6157,0.3857,0.0269
"year, T, OTL",0.8348,0.1654,0.0229
"lgID, tmID, oppID",0.0178,1.0000,0.0399
"lgID, tmID, W",0.0050,1.0000,0.0388
"lgID, tmID, L",0.0057,1.0000,0.0408
"lgID, tmID, T",0.2224,0.7797,0.0349
"lgID, tmID, OTL",0.6150,0.3857,0.0329
"lgID, oppID, W",0.0059,1.0000,0.0399
"lgID, oppID, L",0.0055,1.0000,0.0408
"lgID, oppID, T",0.2224,0.7797,0.0349
"lgID, oppID, OTL",0.6148,0.3857,0.0289
"lgID, W, L",0.0023,1.0000,0.0359
"lgID, W, T",0.2216,0.7797,0.0339
"lgID, W, OTL",0.6144,0.3857,0.0289
"lgID, L, T",0.2216,0.7797,0.0339
"lgID, L, OTL",0.6144,0.3857,0.0329
"lgID, T, OTL",0.8347,0.1654,0.0249
"tmID, oppID, W",0.0942,1.0000,0.0429
"tmID, oppID, L",0.0935,1.0000,0.0408
"tmID, oppID, T",0.2787,0.7797,0.0379
"tmID, oppID, OTL",0.6328,0.3857,0.0299
"tmID, W, L",0.0354,1.0000,0.0379
"tmID, W, T",0.2401,0.7797,0.0329
"tmID, W, OTL",0.6197,0.3857,0.0279
"tmID, L, T",0.2392,0.7797,0.0329
"tmID, L, OTL",0.6193,0.3857,0.0279
"tmID, T, OTL",0.8366,0.1654,0.0229
"oppID, W, L",0.0351,1.0000,0.0379
"oppID, W, T",0.2392,0.7797,0.0329
"oppID, W, OTL",0.6194,0.3857,0.0289
"oppID, L, T",0.2399,0.7797,0.0339
"oppID, L, OTL",0.6191,0.3857,0.0309
"oppID, T, OTL",0.8366,0.1654,0.0239
"W, L, T",0.2232,0.7797,0.0299
"W, L, OTL",0.6146,0.3857,0.0289
"W, T, OTL",0.8349,0.1654,0.0239
"L, T, OTL",0.8348,0.1654,0.0239
"year, lgID, tmID, oppID",1.0000,1.0000,0.0618
"year, lgID, tmID, W",0.0871,1.0000,0.0439
"year, lgID, tmID, L",0.0859,1.0000,0.0468
"year, lgID, tmID, T",0.2602,0.7797,0.0389
"year, lgID, tmID, OTL",0.6206,0.3857,0.0339
