Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
year,0.0000,1.0000,0.0010
tmID,0.0162,1.0000,0.0010
lgID,0.0000,1.0000,0.0010
W,0.0000,1.0000,0.0010
G,0.0000,1.0000,0.0010
PIM,0.2503,0.9072,0.0010
GA,0.0097,1.0000,0.0020
GF,0.0097,1.0000,0.0010
L,0.0000,1.0000,0.0020
T,0.0022,1.0000,0.0020
"year, tmID",1.0000,1.0000,0.0010
"year, lgID",0.0000,1.0000,0.0010
"year, W",0.4315,1.0000,0.0020
"year, G",0.4477,1.0000,0.0010
"year, PIM",0.9590,0.9072,0.0020
"year, GA",0.7691,1.0000,0.0020
"year, GF",0.8112,1.0000,0.0020
"year, L",0.1866,1.0000,0.0020
"year, T",0.0065,1.0000,0.0010
"tmID, lgID",0.0162,1.0000,0.0020
"tmID, W",0.2039,1.0000,0.0020
"tmID, G",0.2665,1.0000,0.0020
"tmID, PIM",0.8943,0.9072,0.0010
"tmID, GA",0.5394,1.0000,0.0020
"tmID, GF",0.5858,1.0000,0.0020
"tmID, L",0.1251,1.0000,0.0020
"tmID, T",0.0302,1.0000,0.0020
"lgID, W",0.0065,1.0000,0.0010
"lgID, G",0.0065,1.0000,0.0020
"lgID, PIM",0.2503,0.9072,0.0020
"lgID, GA",0.0431,1.0000,0.0010
"lgID, GF",0.0399,1.0000,0.0020
"lgID, L",0.0011,1.0000,0.0020
"lgID, T",0.0022,1.0000,0.0010
"W, G",0.0291,1.0000,0.0010
"W, PIM",0.6980,0.9072,0.0020
"W, GA",0.2114,1.0000,0.0010
"W, GF",0.1726,1.0000,0.0010
"W, L",0.0237,1.0000,0.0020
"W, T",0.0086,1.0000,0.0010
"G, PIM",0.7422,0.9072,0.0010
"G, GA",0.2190,1.0000,0.0020
"G, GF",0.2104,1.0000,0.0020
"G, L",0.0248,1.0000,0.0010
"G, T",0.0086,1.0000,0.0010
"PIM, GA",0.9105,0.9072,0.0020
"PIM, GF",0.9202,0.9072,0.0020
"PIM, L",0.5469,0.9072,0.0020
"PIM, T",0.2859,0.9072,0.0020
"GA, GF",0.4833,1.0000,0.0019
"GA, L",0.1111,1.0000,0.0010
"GA, T",0.0216,1.0000,0.0010
"GF, L",0.1909,1.0000,0.0020
"GF, T",0.0313,1.0000,0.0020
"L, T",0.0043,1.0000,0.0010
"year, tmID, lgID",1.0000,1.0000,0.0020
"year, tmID, W",1.0000,1.0000,0.0020
"year, tmID, G",1.0000,1.0000,0.0020
"year, tmID, PIM",1.0000,0.9072,0.0020
"year, tmID, GA",1.0000,1.0000,0.0020
"year, tmID, GF",1.0000,1.0000,0.0020
"year, tmID, L",1.0000,1.0000,0.0010
"year, tmID, T",1.0000,1.0000,0.0020
"year, lgID, W",0.4865,1.0000,0.0020
"year, lgID, G",0.4779,1.0000,0.0010
"year, lgID, PIM",0.9590,0.9072,0.0020
"year, lgID, GA",0.7907,1.0000,0.0020
"year, lgID, GF",0.8296,1.0000,0.0020
"year, lgID, L",0.2201,1.0000,0.0020
"year, lgID, T",0.0086,1.0000,0.0020
"year, W, G",0.5566,1.0000,0.0010
"year, W, PIM",0.9871,0.9072,0.0020
"year, W, GA",0.9299,1.0000,0.0020
"year, W, GF",0.8986,1.0000,0.0010
"year, W, L",0.5696,1.0000,0.0020
"year, W, T",0.4552,1.0000,0.0010
"year, G, PIM",0.9914,0.9072,0.0020
"year, G, GA",0.9299,1.0000,0.0020
"year, G, GF",0.9040,1.0000,0.0010
"year, G, L",0.5685,1.0000,0.0020
"year, G, T",0.4746,1.0000,0.0010
"year, PIM, GA",0.9978,0.9072,0.0020
"year, PIM, GF",0.9978,0.9072,0.0020
"year, PIM, L",0.9763,0.9072,0.0020
"year, PIM, T",0.9612,0.9072,0.0020
"year, GA, GF",0.9827,1.0000,0.0010
"year, GA, L",0.8328,1.0000,0.0020
"year, GA, T",0.7853,1.0000,0.0010
"year, GF, L",0.8619,1.0000,0.0020
"year, GF, T",0.8188,1.0000,0.0020
"year, L, T",0.2060,1.0000,0.0030
"tmID, lgID, W",0.2039,1.0000,0.0030
"tmID, lgID, G",0.2665,1.0000,0.0020
"tmID, lgID, PIM",0.8943,0.9072,0.0020
"tmID, lgID, GA",0.5394,1.0000,0.0020
"tmID, lgID, GF",0.5858,1.0000,0.0020
"tmID, lgID, L",0.1251,1.0000,0.0020
"tmID, lgID, T",0.0302,1.0000,0.0020
"tmID, W, G",0.4671,1.0000,0.0010
"tmID, W, PIM",0.9817,0.9072,0.0020
"tmID, W, GA",0.8598,1.0000,0.0020
"tmID, W, GF",0.8123,1.0000,0.0020
"tmID, W, L",0.4800,1.0000,0.0010
"tmID, W, T",0.2352,1.0000,0.0020
"tmID, G, PIM",0.9892,0.9072,0.0020
"tmID, G, GA",0.8781,1.0000,0.0020
"tmID, G, GF",0.8468,1.0000,0.0020
"tmID, G, L",0.4725,1.0000,0.0020
"tmID, G, T",0.2956,1.0000,0.0020
"tmID, PIM, GA",0.9957,0.9072,0.0020
"tmID, PIM, GF",0.9978,0.9072,0.0020
"tmID, PIM, L",0.9569,0.9072,0.0020
"tmID, PIM, T",0.9029,0.9072,0.0020
"tmID, GA, GF",0.9461,1.0000,0.0020
"tmID, GA, L",0.7551,1.0000,0.0020
"tmID, GA, T",0.5663,1.0000,0.0020
"tmID, GF, L",0.7821,1.0000,0.0010
"tmID, GF, T",0.6257,1.0000,0.0020
"tmID, L, T",0.1489,1.0000,0.0020
"lgID, W, G",0.0529,1.0000,0.0020
"lgID, W, PIM",0.6980,0.9072,0.0020
"lgID, W, GA",0.2578,1.0000,0.0010
"lgID, W, GF",0.2147,1.0000,0.0020
"lgID, W, L",0.0496,1.0000,0.0020
"lgID, W, T",0.0205,1.0000,0.0020
"lgID, G, PIM",0.7422,0.9072,0.0020
"lgID, G, GA",0.2751,1.0000,0.0010
"lgID, G, GF",0.2416,1.0000,0.0020
"lgID, G, L",0.0496,1.0000,0.0010
"lgID, G, T",0.0140,1.0000,0.0020
"lgID, PIM, GA",0.9105,0.9072,0.0020
"lgID, PIM, GF",0.9202,0.9072,0.0020
"lgID, PIM, L",0.5469,0.9072,0.0020
"lgID, PIM, T",0.2859,0.9072,0.0020
"lgID, GA, GF",0.5394,1.0000,0.0020
"lgID, GA, L",0.1597,1.0000,0.0020
"lgID, GA, T",0.0636,1.0000,0.0020
"lgID, GF, L",0.2265,1.0000,0.0010
"lgID, GF, T",0.0626,1.0000,0.0020
"lgID, L, T",0.0108,1.0000,0.0020
"W, G, PIM",0.8047,0.9072,0.0030
"W, G, GA",0.4099,1.0000,0.0010
"W, G, GF",0.3970,1.0000,0.0020
"W, G, L",0.0367,1.0000,0.0010
"W, G, T",0.0367,1.0000,0.0010
