Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
year,0.0000,1.0000,0.0080
tmID,0.3000,1.0000,0.0010
lgID,0.0000,1.0000,0.0010
G,0.0333,1.0000,0.0000
W,0.0667,1.0000,0.0013
L,0.0000,1.0000,0.0007
T,0.0000,1.0000,0.0000
"year, tmID",1.0000,1.0000,0.0000
"year, lgID",1.0000,1.0000,0.0010
"year, G",0.1333,1.0000,0.0000
"year, W",0.8667,1.0000,0.0000
"year, L",0.8667,1.0000,0.0000
"year, T",0.0000,1.0000,0.0010
"tmID, lgID",0.3000,1.0000,0.0010
"tmID, G",0.5667,1.0000,0.0010
"tmID, W",0.7667,1.0000,0.0010
"tmID, L",0.8333,1.0000,0.0010
"tmID, T",0.3667,1.0000,0.0000
"lgID, G",0.1333,1.0000,0.0010
"lgID, W",0.2667,1.0000,0.0010
"lgID, L",0.2000,1.0000,0.0010
"lgID, T",0.0667,1.0000,0.0010
"G, W",0.1333,1.0000,0.0000
"G, L",0.1333,1.0000,0.0010
"G, T",0.0333,1.0000,0.0010
"W, L",0.1333,1.0000,0.0030
"W, T",0.0667,1.0000,0.0000
"L, T",0.0000,1.0000,0.0020
"year, tmID, lgID",1.0000,1.0000,0.0010
"year, tmID, G",1.0000,1.0000,0.0000
"year, tmID, W",1.0000,1.0000,0.0010
"year, tmID, L",1.0000,1.0000,0.0010
"year, tmID, T",1.0000,1.0000,0.0010
"year, lgID, G",1.0000,1.0000,0.0000
"year, lgID, W",1.0000,1.0000,0.0000
"year, lgID, L",1.0000,1.0000,0.0000
"year, lgID, T",1.0000,1.0000,0.0000
"year, G, W",0.8667,1.0000,0.0000
"year, G, L",0.8667,1.0000,0.0000
"year, G, T",0.1333,1.0000,0.0010
"year, W, L",0.8667,1.0000,0.0010
"year, W, T",0.8667,1.0000,0.0010
"year, L, T",0.8667,1.0000,0.0000
"tmID, lgID, G",0.5667,1.0000,0.0010
"tmID, lgID, W",0.7667,1.0000,0.0010
