Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
playerID,0.0563,1.0000,0.0080
year,0.0000,1.0000,0.0010
stint,0.0000,1.0000,0.0020
tmID,0.0021,1.0000,0.0010
W,0.0000,1.0000,0.0020
L,0.0021,1.0000,0.0010
SA,0.0146,1.0000,0.0020
GA,0.0063,1.0000,0.0010
"playerID, year",0.9542,1.0000,0.0030
"playerID, stint",0.0833,1.0000,0.0010
"playerID, tmID",0.2375,1.0000,0.0030
"playerID, W",0.5021,1.0000,0.0020
"playerID, L",0.5167,1.0000,0.0020
"playerID, SA",0.8917,1.0000,0.0020
"playerID, GA",0.6542,1.0000,0.0010
"year, stint",0.0042,1.0000,0.0020
"year, tmID",0.0229,1.0000,0.0010
"year, W",0.0313,1.0000,0.0010
"year, L",0.0146,1.0000,0.0010
"year, SA",0.2021,1.0000,0.0020
"year, GA",0.0500,1.0000,0.0020
"stint, tmID",0.0188,1.0000,0.0010
"stint, W",0.0021,1.0000,0.0010
"stint, L",0.0042,1.0000,0.0010
"stint, SA",0.0313,1.0000,0.0010
"stint, GA",0.0125,1.0000,0.0020
"tmID, W",0.1396,1.0000,0.0010
"tmID, L",0.1646,1.0000,0.0010
"tmID, SA",0.6479,1.0000,0.0020
"tmID, GA",0.3146,1.0000,0.0010
"W, L",0.0542,1.0000,0.0020
"W, SA",0.1729,1.0000,0.0010
"W, GA",0.0813,1.0000,0.0010
"L, SA",0.1896,1.0000,0.0010
"L, GA",0.0583,1.0000,0.0010
"SA, GA",0.2417,1.0000,0.0020
"playerID, year, stint",1.0000,1.0000,0.0010
"playerID, year, tmID",1.0000,1.0000,0.0020
"playerID, year, W",0.9750,1.0000,0.0020
"playerID, year, L",0.9875,1.0000,0.0020
"playerID, year, SA",0.9958,1.0000,0.0020
"playerID, year, GA",0.9917,1.0000,0.0010
"playerID, stint, tmID",0.2583,1.0000,0.0020
"playerID, stint, W",0.5313,1.0000,0.0010
"playerID, stint, L",0.5479,1.0000,0.0020
"playerID, stint, SA",0.9083,1.0000,0.0020
"playerID, stint, GA",0.6813,1.0000,0.0020
"playerID, tmID, W",0.7604,1.0000,0.0020
"playerID, tmID, L",0.7333,1.0000,0.0020
"playerID, tmID, SA",0.9375,1.0000,0.0010
"playerID, tmID, GA",0.8229,1.0000,0.0020
"playerID, W, L",0.8563,1.0000,0.0020
"playerID, W, SA",0.9708,1.0000,0.0020
"playerID, W, GA",0.9125,1.0000,0.0010
"playerID, L, SA",0.9750,1.0000,0.0020
"playerID, L, GA",0.8625,1.0000,0.0010
"playerID, SA, GA",0.9667,1.0000,0.0020
"year, stint, tmID",0.0604,1.0000,0.0020
"year, stint, W",0.0417,1.0000,0.0020
"year, stint, L",0.0292,1.0000,0.0020
"year, stint, SA",0.2313,1.0000,0.0010
