Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
playerID,1.0000,0.9689,0.0189
coachID,1.0000,0.0509,0.0080
hofID,1.0000,0.0472,0.0100
legendsID,1.0000,0.8474,0.0199
ihdbID,1.0000,0.9181,0.0209
hrefID,1.0000,0.9608,0.0219
lastName,0.5055,1.0000,0.0160
nameGiven,0.6329,0.7712,0.0199
birthYear,0.0289,0.9719,0.0189
pos,0.0412,0.9595,0.0269
"playerID, coachID",1.0000,0.0345,0.0140
"playerID, hofID",1.0000,0.0303,0.0160
"playerID, legendsID",1.0000,0.8311,0.0229
"playerID, ihdbID",1.0000,0.9052,0.0279
"playerID, hrefID",1.0000,0.9425,0.0379
"playerID, lastName",1.0000,0.9689,0.0190
"playerID, nameGiven",1.0000,0.7477,0.0230
"playerID, birthYear",1.0000,0.9445,0.0259
"playerID, pos",1.0000,0.9549,0.0250
"coachID, hofID",1.0000,0.0116,0.0100
"coachID, legendsID",1.0000,0.0358,0.0100
"coachID, ihdbID",1.0000,0.0466,0.0110
"coachID, hrefID",1.0000,0.0492,0.0090
"coachID, lastName",1.0000,0.0509,0.0090
"coachID, nameGiven",1.0000,0.0479,0.0100
"coachID, birthYear",1.0000,0.0474,0.0100
"coachID, pos",1.0000,0.0357,0.0100
"hofID, legendsID",1.0000,0.0466,0.0100
"hofID, ihdbID",1.0000,0.0311,0.0100
"hofID, hrefID",1.0000,0.0357,0.0090
"hofID, lastName",1.0000,0.0472,0.0080
"hofID, nameGiven",1.0000,0.0424,0.0099
"hofID, birthYear",1.0000,0.0469,0.0100
"hofID, pos",1.0000,0.0343,0.0080
"legendsID, ihdbID",1.0000,0.8317,0.0219
"legendsID, hrefID",1.0000,0.8365,0.0220
"legendsID, lastName",1.0000,0.8474,0.0210
"legendsID, nameGiven",1.0000,0.6914,0.0219
"legendsID, birthYear",1.0000,0.8469,0.0210
"legendsID, pos",1.0000,0.8348,0.0209
"ihdbID, hrefID",1.0000,0.9112,0.0239
"ihdbID, lastName",1.0000,0.9181,0.0229
"ihdbID, nameGiven",1.0000,0.7405,0.0219
"ihdbID, birthYear",1.0000,0.9099,0.0229
"ihdbID, pos",1.0000,0.9041,0.0239
"hrefID, lastName",1.0000,0.9608,0.0229
"hrefID, nameGiven",1.0000,0.7391,0.0220
"hrefID, birthYear",1.0000,0.9485,0.0249
"hrefID, pos",1.0000,0.9414,0.0229
"lastName, nameGiven",0.9985,0.7712,0.0220
"lastName, birthYear",0.9693,0.9719,0.0229
"lastName, pos",0.7565,0.9595,0.0219
"nameGiven, birthYear",0.9340,0.7572,0.0229
"nameGiven, pos",0.7878,0.7451,0.0210
"birthYear, pos",0.0604,0.9476,0.0180
"playerID, coachID, hofID",1.0000,0.0094,0.0100
"playerID, coachID, legendsID",1.0000,0.0336,0.0090
"playerID, coachID, ihdbID",1.0000,0.0341,0.0100
"playerID, coachID, hrefID",1.0000,0.0344,0.0100
"playerID, coachID, lastName",1.0000,0.0345,0.0100
"playerID, coachID, nameGiven",1.0000,0.0345,0.0100
"playerID, coachID, birthYear",1.0000,0.0344,0.0089
"playerID, coachID, pos",1.0000,0.0345,0.0100
"playerID, hofID, legendsID",1.0000,0.0303,0.0100
"playerID, hofID, ihdbID",1.0000,0.0289,0.0090
"playerID, hofID, hrefID",1.0000,0.0300,0.0100
"playerID, hofID, lastName",1.0000,0.0303,0.0090
"playerID, hofID, nameGiven",1.0000,0.0303,0.0100
"playerID, hofID, birthYear",1.0000,0.0303,0.0090
"playerID, hofID, pos",1.0000,0.0302,0.0100
"playerID, legendsID, ihdbID",1.0000,0.8295,0.0259
"playerID, legendsID, hrefID",1.0000,0.8308,0.0250
"playerID, legendsID, lastName",1.0000,0.8311,0.0259
"playerID, legendsID, nameGiven",1.0000,0.6797,0.0249
"playerID, legendsID, birthYear",1.0000,0.8308,0.0249
"playerID, legendsID, pos",1.0000,0.8309,0.0240
"playerID, ihdbID, hrefID",1.0000,0.8990,0.0260
"playerID, ihdbID, lastName",1.0000,0.9052,0.0279
"playerID, ihdbID, nameGiven",1.0000,0.7294,0.0259
"playerID, ihdbID, birthYear",1.0000,0.8982,0.0259
"playerID, ihdbID, pos",1.0000,0.9032,0.0269
"playerID, hrefID, lastName",1.0000,0.9425,0.0279
"playerID, hrefID, nameGiven",1.0000,0.7249,0.0259
"playerID, hrefID, birthYear",1.0000,0.9321,0.0269
"playerID, hrefID, pos",1.0000,0.9370,0.0269
"playerID, lastName, nameGiven",1.0000,0.7477,0.0269
"playerID, lastName, birthYear",1.0000,0.9445,0.0270
"playerID, lastName, pos",1.0000,0.9549,0.0289
"playerID, nameGiven, birthYear",1.0000,0.7366,0.0259
"playerID, nameGiven, pos",1.0000,0.7419,0.0240
"playerID, birthYear, pos",1.0000,0.9430,0.0269
"coachID, hofID, legendsID",1.0000,0.0116,0.0090
"coachID, hofID, ihdbID",1.0000,0.0110,0.0090
"coachID, hofID, hrefID",1.0000,0.0116,0.0090
"coachID, hofID, lastName",1.0000,0.0116,0.0090
"coachID, hofID, nameGiven",1.0000,0.0115,0.0090
"coachID, hofID, birthYear",1.0000,0.0116,0.0090
"coachID, hofID, pos",1.0000,0.0101,0.0090
"coachID, legendsID, ihdbID",1.0000,0.0352,0.0090
"coachID, legendsID, hrefID",1.0000,0.0358,0.0099
"coachID, legendsID, lastName",1.0000,0.0358,0.0090
"coachID, legendsID, nameGiven",1.0000,0.0357,0.0090
"coachID, legendsID, birthYear",1.0000,0.0358,0.0100
"coachID, legendsID, pos",1.0000,0.0343,0.0090
"coachID, ihdbID, hrefID",1.0000,0.0463,0.0100
"coachID, ihdbID, lastName",1.0000,0.0466,0.0100
"coachID, ihdbID, nameGiven",1.0000,0.0448,0.0090
"coachID, ihdbID, birthYear",1.0000,0.0455,0.0100
"coachID, ihdbID, pos",1.0000,0.0349,0.0090
"coachID, hrefID, lastName",1.0000,0.0492,0.0100
"coachID, hrefID, nameGiven",1.0000,0.0463,0.0090
"coachID, hrefID, birthYear",1.0000,0.0474,0.0090
"coachID, hrefID, pos",1.0000,0.0356,0.0099
"coachID, lastName, nameGiven",1.0000,0.0479,0.0090
"coachID, lastName, birthYear",1.0000,0.0474,0.0100
"coachID, lastName, pos",1.0000,0.0357,0.0090
"coachID, nameGiven, birthYear",1.0000,0.0451,0.0090
"coachID, nameGiven, pos",1.0000,0.0356,0.0100
"coachID, birthYear, pos",1.0000,0.0356,0.0090
"hofID, legendsID, ihdbID",1.0000,0.0311,0.0100
"hofID, legendsID, hrefID",1.0000,0.0357,0.0090
"hofID, legendsID, lastName",1.0000,0.0466,0.0090
"hofID, legendsID, nameGiven",1.0000,0.0420,0.0100
"hofID, legendsID, birthYear",1.0000,0.0464,0.0100
"hofID, legendsID, pos",1.0000,0.0340,0.0090
"hofID, ihdbID, hrefID",1.0000,0.0305,0.0090
"hofID, ihdbID, lastName",1.0000,0.0311,0.0090
"hofID, ihdbID, nameGiven",1.0000,0.0309,0.0099
"hofID, ihdbID, birthYear",1.0000,0.0311,0.0100
"hofID, ihdbID, pos",1.0000,0.0292,0.0110
"hofID, hrefID, lastName",1.0000,0.0357,0.0100
"hofID, hrefID, nameGiven",1.0000,0.0344,0.0100
"hofID, hrefID, birthYear",1.0000,0.0356,0.0090
"hofID, hrefID, pos",1.0000,0.0339,0.0100
"hofID, lastName, nameGiven",1.0000,0.0424,0.0090
"hofID, lastName, birthYear",1.0000,0.0469,0.0100
"hofID, lastName, pos",1.0000,0.0343,0.0090
"hofID, nameGiven, birthYear",1.0000,0.0423,0.0090
"hofID, nameGiven, pos",1.0000,0.0330,0.0100
"hofID, birthYear, pos",1.0000,0.0341,0.0100
"legendsID, ihdbID, hrefID",1.0000,0.8312,0.0259
"legendsID, ihdbID, lastName",1.0000,0.8317,0.0269
"legendsID, ihdbID, nameGiven",1.0000,0.6802,0.0259
"legendsID, ihdbID, birthYear",1.0000,0.8315,0.0269
"legendsID, ihdbID, pos",1.0000,0.8299,0.0249
"legendsID, hrefID, lastName",1.0000,0.8365,0.0279
"legendsID, hrefID, nameGiven",1.0000,0.6838,0.0239
"legendsID, hrefID, birthYear",1.0000,0.8361,0.0259
"legendsID, hrefID, pos",1.0000,0.8347,0.0249
"legendsID, lastName, nameGiven",1.0000,0.6914,0.0259
"legendsID, lastName, birthYear",1.0000,0.8469,0.0259
"legendsID, lastName, pos",1.0000,0.8348,0.0259
"legendsID, nameGiven, birthYear",1.0000,0.6910,0.0249
"legendsID, nameGiven, pos",1.0000,0.6823,0.0239
"legendsID, birthYear, pos",1.0000,0.8344,0.0249
"ihdbID, hrefID, lastName",1.0000,0.9112,0.0279
"ihdbID, hrefID, nameGiven",1.0000,0.7338,0.0259
"ihdbID, hrefID, birthYear",1.0000,0.9053,0.0279
"ihdbID, hrefID, pos",1.0000,0.8981,0.0259
"ihdbID, lastName, nameGiven",1.0000,0.7405,0.0249
"ihdbID, lastName, birthYear",1.0000,0.9099,0.0270
"ihdbID, lastName, pos",1.0000,0.9041,0.0259
"ihdbID, nameGiven, birthYear",1.0000,0.7373,0.0249
"ihdbID, nameGiven, pos",1.0000,0.7302,0.0239
"ihdbID, birthYear, pos",1.0000,0.8985,0.0259
"hrefID, lastName, nameGiven",1.0000,0.7391,0.0249
"hrefID, lastName, birthYear",1.0000,0.9485,0.0269
"hrefID, lastName, pos",1.0000,0.9414,0.0269
"hrefID, nameGiven, birthYear",1.0000,0.7371,0.0259
"hrefID, nameGiven, pos",1.0000,0.7280,0.0249
"hrefID, birthYear, pos",1.0000,0.9358,0.0259
"lastName, nameGiven, birthYear",1.0000,0.7572,0.0249
"lastName, nameGiven, pos",0.9997,0.7451,0.0279
"lastName, birthYear, pos",0.9941,0.9476,0.0269
"nameGiven, birthYear, pos",0.9822,0.7388,0.0269
"playerID, coachID, hofID, legendsID",1.0000,0.0094,0.0090
"playerID, coachID, hofID, ihdbID",1.0000,0.0091,0.0100
"playerID, coachID, hofID, hrefID",1.0000,0.0094,0.0090
"playerID, coachID, hofID, lastName",1.0000,0.0094,0.0099
"playerID, coachID, hofID, nameGiven",1.0000,0.0094,0.0100
"playerID, coachID, hofID, birthYear",1.0000,0.0094,0.0100
"playerID, coachID, hofID, pos",1.0000,0.0094,0.0100
"playerID, coachID, legendsID, ihdbID",1.0000,0.0334,0.0100
"playerID, coachID, legendsID, hrefID",1.0000,0.0336,0.0100
"playerID, coachID, legendsID, lastName",1.0000,0.0336,0.0109
"playerID, coachID, legendsID, nameGiven",1.0000,0.0336,0.0100
"playerID, coachID, legendsID, birthYear",1.0000,0.0336,0.0100
"playerID, coachID, legendsID, pos",1.0000,0.0336,0.0099
"playerID, coachID, ihdbID, hrefID",1.0000,0.0341,0.0100
"playerID, coachID, ihdbID, lastName",1.0000,0.0341,0.0100
"playerID, coachID, ihdbID, nameGiven",1.0000,0.0341,0.0100
"playerID, coachID, ihdbID, birthYear",1.0000,0.0341,0.0100
"playerID, coachID, ihdbID, pos",1.0000,0.0341,0.0100
"playerID, coachID, hrefID, lastName",1.0000,0.0344,0.0100
"playerID, coachID, hrefID, nameGiven",1.0000,0.0344,0.0090
"playerID, coachID, hrefID, birthYear",1.0000,0.0344,0.0090
