Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
playerID,0.0370,1.0000,0.0449
year,0.0000,1.0000,0.0398
tmID,0.0000,1.0000,0.0568
lgID,0.0000,1.0000,0.0928
stint,0.0000,1.0000,0.0768
pos,0.0127,0.9873,0.0887
GP,0.0058,0.9942,0.0808
G,0.0060,0.9942,0.0798
A,0.0061,0.9942,0.0807
postG,0.5834,0.4167,0.0768
"playerID, year",0.8396,1.0000,0.1018
"playerID, tmID",0.1789,1.0000,0.1236
"playerID, lgID",0.0439,1.0000,0.1156
"playerID, stint",0.0732,1.0000,0.1077
"playerID, pos",0.0656,0.9873,0.1137
"playerID, GP",0.7814,0.9942,0.1266
"playerID, G",0.4805,0.9942,0.1186
"playerID, A",0.6033,0.9942,0.1266
"playerID, postG",0.6984,0.4167,0.0947
"year, tmID",0.0000,1.0000,0.0698
"year, lgID",0.0000,1.0000,0.0997
"year, stint",0.0004,1.0000,0.0857
"year, pos",0.0154,0.9873,0.0987
"year, GP",0.0228,0.9942,0.0928
"year, G",0.0225,0.9942,0.0878
"year, A",0.0244,0.9942,0.0907
"year, postG",0.5877,0.4167,0.0877
"tmID, lgID",0.0000,1.0000,0.1057
"tmID, stint",0.0006,1.0000,0.0997
"tmID, pos",0.0141,0.9873,0.1047
"tmID, GP",0.0289,0.9942,0.1047
"tmID, G",0.0258,0.9942,0.0998
"tmID, A",0.0266,0.9942,0.1007
"tmID, postG",0.5861,0.4167,0.0907
"lgID, stint",0.0000,1.0000,0.1057
"lgID, pos",0.0129,0.9873,0.1067
"lgID, GP",0.0058,0.9942,0.1017
"lgID, G",0.0066,0.9942,0.0977
"lgID, A",0.0065,0.9942,0.1007
"lgID, postG",0.5834,0.4167,0.0927
"stint, pos",0.0128,0.9873,0.0947
"stint, GP",0.0062,0.9942,0.0908
"stint, G",0.0063,0.9942,0.0867
"stint, A",0.0064,0.9942,0.0858
"stint, postG",0.5834,0.4167,0.0847
"pos, GP",0.0221,0.9816,0.0997
"pos, G",0.0210,0.9816,0.0977
"pos, A",0.0215,0.9816,0.0997
"pos, postG",0.5851,0.4154,0.0987
"GP, G",0.0165,0.9942,0.0868
"GP, A",0.0171,0.9942,0.0887
"GP, postG",0.5931,0.4109,0.0848
"G, A",0.0235,0.9942,0.0927
"G, postG",0.5932,0.4109,0.0848
"A, postG",0.5948,0.4109,0.0847
"playerID, year, tmID",0.9996,1.0000,0.1585
"playerID, year, lgID",0.8419,1.0000,0.1535
"playerID, year, stint",0.9999,1.0000,0.1426
"playerID, year, pos",0.8436,0.9873,0.1535
"playerID, year, GP",0.9971,0.9942,0.1446
"playerID, year, G",0.9641,0.9942,0.1446
"playerID, year, A",0.9789,0.9942,0.1426
"playerID, year, postG",1.0000,0.4167,0.1176
"playerID, tmID, lgID",0.1789,1.0000,0.1466
"playerID, tmID, stint",0.2487,1.0000,0.1356
"playerID, tmID, pos",0.2203,0.9873,0.1406
"playerID, tmID, GP",0.8742,0.9942,0.1576
"playerID, tmID, G",0.7062,0.9942,0.1605
"playerID, tmID, A",0.7959,0.9942,0.1526
"playerID, tmID, postG",0.7908,0.4167,0.1137
"playerID, lgID, stint",0.0820,1.0000,0.1266
"playerID, lgID, pos",0.0722,0.9873,0.1466
"playerID, lgID, GP",0.7896,0.9942,0.1546
"playerID, lgID, G",0.4952,0.9942,0.1426
"playerID, lgID, A",0.6173,0.9942,0.1496
"playerID, lgID, postG",0.7054,0.4167,0.1087
"playerID, stint, pos",0.1078,0.9873,0.1257
"playerID, stint, GP",0.7959,0.9942,0.1406
"playerID, stint, G",0.5371,0.9942,0.1286
"playerID, stint, A",0.6515,0.9942,0.1356
"playerID, stint, postG",0.7274,0.4167,0.1027
"playerID, pos, GP",0.8038,0.9816,0.1506
"playerID, pos, G",0.5191,0.9816,0.1426
"playerID, pos, A",0.6413,0.9816,0.1486
"playerID, pos, postG",0.7186,0.4154,0.1097
"playerID, GP, G",0.9417,0.9942,0.1436
"playerID, GP, A",0.9563,0.9942,0.1406
"playerID, GP, postG",0.9633,0.4109,0.1107
"playerID, G, A",0.8131,0.9942,0.1386
"playerID, G, postG",0.9196,0.4109,0.1087
"playerID, A, postG",0.9461,0.4109,0.1107
"year, tmID, lgID",0.0000,1.0000,0.1196
"year, tmID, stint",0.0096,1.0000,0.1107
"year, tmID, pos",0.0266,0.9873,0.1237
"year, tmID, GP",0.5488,0.9942,0.1306
"year, tmID, G",0.2960,0.9942,0.1227
"year, tmID, A",0.3708,0.9942,0.1236
"year, tmID, postG",0.6170,0.4167,0.0997
"year, lgID, stint",0.0007,1.0000,0.1117
"year, lgID, pos",0.0155,0.9873,0.1167
"year, lgID, GP",0.0281,0.9942,0.1167
"year, lgID, G",0.0285,0.9942,0.1137
"year, lgID, A",0.0282,0.9942,0.1146
"year, lgID, postG",0.5884,0.4167,0.0997
"year, stint, pos",0.0191,0.9873,0.1107
"year, stint, GP",0.0530,0.9942,0.1007
"year, stint, G",0.0343,0.9942,0.0968
"year, stint, A",0.0383,0.9942,0.1037
"year, stint, postG",0.5918,0.4167,0.0967
"year, pos, GP",0.1916,0.9816,0.1267
"year, pos, G",0.0979,0.9816,0.1157
"year, pos, A",0.1220,0.9816,0.1177
"year, pos, postG",0.6030,0.4154,0.0977
"year, GP, G",0.4386,0.9942,0.1067
"year, GP, A",0.5026,0.9942,0.1047
"year, GP, postG",0.7086,0.4109,0.0987
"year, G, A",0.3401,0.9942,0.1057
"year, G, postG",0.6969,0.4109,0.0967
"year, A, postG",0.7179,0.4109,0.0987
"tmID, lgID, stint",0.0006,1.0000,0.1206
"tmID, lgID, pos",0.0141,0.9873,0.1216
"tmID, lgID, GP",0.0289,0.9942,0.1247
"tmID, lgID, G",0.0258,0.9942,0.1206
"tmID, lgID, A",0.0266,0.9942,0.1186
"tmID, lgID, postG",0.5861,0.4167,0.1007
"tmID, stint, pos",0.0178,0.9873,0.1167
"tmID, stint, GP",0.0542,0.9942,0.1117
"tmID, stint, G",0.0363,0.9942,0.1117
"tmID, stint, A",0.0401,0.9942,0.1117
"tmID, stint, postG",0.5892,0.4167,0.0938
"tmID, pos, GP",0.1571,0.9816,0.1336
"tmID, pos, G",0.0868,0.9816,0.1266
"tmID, pos, A",0.1060,0.9816,0.1276
"tmID, pos, postG",0.5980,0.4154,0.1047
"tmID, GP, G",0.3826,0.9942,0.1266
"tmID, GP, A",0.4399,0.9942,0.1256
"tmID, GP, postG",0.6807,0.4109,0.0997
"tmID, G, A",0.2802,0.9942,0.1237
"tmID, G, postG",0.6657,0.4109,0.1017
"tmID, A, postG",0.6828,0.4109,0.1007
"lgID, stint, pos",0.0131,0.9873,0.1167
"lgID, stint, GP",0.0073,0.9942,0.1087
"lgID, stint, G",0.0076,0.9942,0.1137
"lgID, stint, A",0.0072,0.9942,0.1147
"lgID, stint, postG",0.5835,0.4167,0.0918
"lgID, pos, GP",0.0242,0.9816,0.1197
"lgID, pos, G",0.0232,0.9816,0.1206
"lgID, pos, A",0.0233,0.9816,0.1167
"lgID, pos, postG",0.5854,0.4154,0.0997
"lgID, GP, G",0.0358,0.9942,0.1107
"lgID, GP, A",0.0368,0.9942,0.1146
"lgID, GP, postG",0.5973,0.4109,0.0957
"lgID, G, A",0.0406,0.9942,0.1097
"lgID, G, postG",0.5978,0.4109,0.1007
"lgID, A, postG",0.5998,0.4109,0.0987
"stint, pos, GP",0.0245,0.9816,0.1147
"stint, pos, G",0.0222,0.9816,0.1117
"stint, pos, A",0.0229,0.9816,0.1177
"stint, pos, postG",0.5855,0.4154,0.0918
"stint, GP, G",0.0271,0.9942,0.0997
"stint, GP, A",0.0297,0.9942,0.0967
"stint, GP, postG",0.5966,0.4109,0.0937
"stint, G, A",0.0292,0.9942,0.0997
"stint, G, postG",0.5949,0.4109,0.0917
"stint, A, postG",0.5974,0.4109,0.0927
"pos, GP, G",0.0652,0.9816,0.1137
"pos, GP, A",0.0812,0.9816,0.1147
"pos, GP, postG",0.6068,0.4098,0.0977
"pos, G, A",0.0718,0.9816,0.1137
"pos, G, postG",0.6053,0.4098,0.1017
"pos, A, postG",0.6095,0.4098,0.0977
"GP, G, A",0.2908,0.9942,0.1047
"GP, G, postG",0.6655,0.4109,0.0957
"GP, A, postG",0.6785,0.4109,0.0977
"G, A, postG",0.6738,0.4109,0.0937
"playerID, year, tmID, lgID",0.9996,1.0000,0.1795
"playerID, year, tmID, stint",1.0000,1.0000,0.1635
