Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
year,0.0000,1.0000,0.0010
tmID,0.0158,1.0000,0.0020
lgID,0.0000,1.0000,0.0020
hW,0.0007,1.0000,0.0020
hL,0.0013,1.0000,0.0020
hOTL,0.7643,0.2357,0.0020
rW,0.0013,1.0000,0.0020
rL,0.0033,1.0000,0.0020
rT,0.1389,0.8618,0.0030
rOTL,0.7643,0.2357,0.0020
"year, tmID",1.0000,1.0000,0.0020
"year, lgID",0.0000,1.0000,0.0020
"year, hW",0.3667,1.0000,0.0020
"year, hL",0.3660,1.0000,0.0020
"year, hOTL",0.7775,0.2357,0.0020
"year, rW",0.3562,1.0000,0.0020
"year, rL",0.3608,1.0000,0.0020
"year, rT",0.2818,0.8618,0.0020
"year, rOTL",0.7781,0.2357,0.0020
"tmID, lgID",0.0158,1.0000,0.0030
"tmID, hW",0.2607,1.0000,0.0030
"tmID, hL",0.2383,1.0000,0.0020
"tmID, hOTL",0.8354,0.2357,0.0020
"tmID, rW",0.2521,1.0000,0.0040
"tmID, rL",0.2633,1.0000,0.0030
"tmID, rT",0.2758,0.8618,0.0030
"tmID, rOTL",0.8315,0.2357,0.0020
"lgID, hW",0.0086,1.0000,0.0020
"lgID, hL",0.0053,1.0000,0.0020
"lgID, hOTL",0.7643,0.2357,0.0020
"lgID, rW",0.0092,1.0000,0.0030
"lgID, rL",0.0105,1.0000,0.0030
"lgID, rT",0.1396,0.8618,0.0030
"lgID, rOTL",0.7643,0.2357,0.0030
"hW, hL",0.0981,1.0000,0.0030
"hW, hOTL",0.8071,0.2357,0.0020
"hW, rW",0.0797,1.0000,0.0020
"hW, rL",0.1422,1.0000,0.0020
"hW, rT",0.1889,0.8618,0.0030
"hW, rOTL",0.7979,0.2357,0.0020
"hL, hOTL",0.8005,0.2357,0.0030
"hL, rW",0.0895,1.0000,0.0020
"hL, rL",0.0862,1.0000,0.0020
"hL, rT",0.1863,0.8618,0.0020
"hL, rOTL",0.7986,0.2357,0.0020
