Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
year,0.0000,1.0000,0.0020
tmID,0.0158,1.0000,0.0000
name,0.0138,1.0000,0.0030
lgID,0.0000,1.0000,0.0030
franchID,0.0026,1.0000,0.0020
playoff,0.3851,0.6162,0.0020
confID,0.4062,0.5938,0.0020
divID,0.2291,0.7709,0.0020
GF,0.0402,1.0000,0.0020
rank,0.0000,1.0000,0.0020
"year, tmID",1.0000,1.0000,0.0010
"year, name",1.0000,1.0000,0.0030
"year, lgID",0.0000,1.0000,0.0030
"year, franchID",1.0000,1.0000,0.0020
"year, playoff",0.5438,0.6162,0.0020
"year, confID",0.4062,0.5938,0.0020
"year, divID",0.2291,0.7709,0.0020
"year, GF",0.8275,1.0000,0.0030
"year, rank",0.1534,1.0000,0.0020
"tmID, name",0.0171,1.0000,0.0030
"tmID, lgID",0.0158,1.0000,0.0020
"tmID, franchID",0.0158,1.0000,0.0020
"tmID, playoff",0.4595,0.6162,0.0020
"tmID, confID",0.4082,0.5938,0.0020
"tmID, divID",0.2449,0.7709,0.0030
"tmID, GF",0.8348,1.0000,0.0030
"tmID, rank",0.0994,1.0000,0.0030
"name, lgID",0.0158,1.0000,0.0030
"name, franchID",0.0158,1.0000,0.0030
"name, playoff",0.4582,0.6162,0.0030
"name, confID",0.4082,0.5938,0.0030
"name, divID",0.2449,0.7709,0.0030
"name, GF",0.8302,1.0000,0.0040
"name, rank",0.0889,1.0000,0.0030
"lgID, franchID",0.0033,1.0000,0.0030
"lgID, playoff",0.3878,0.6162,0.0020
"lgID, confID",0.4062,0.5938,0.0030
"lgID, divID",0.2291,0.7709,0.0030
"lgID, GF",0.1139,1.0000,0.0020
"lgID, rank",0.0007,1.0000,0.0020
"franchID, playoff",0.4483,0.6162,0.0030
"franchID, confID",0.4075,0.5938,0.0020
"franchID, divID",0.2330,0.7709,0.0020
"franchID, GF",0.8097,1.0000,0.0030
"franchID, rank",0.0500,1.0000,0.0020
"playoff, confID",0.6234,0.3766,0.0020
"playoff, divID",0.5188,0.4885,0.0030
"playoff, GF",0.7670,0.6162,0.0020
"playoff, rank",0.3950,0.6162,0.0020
"confID, divID",0.4062,0.5938,0.0020
"confID, GF",0.5484,0.5938,0.0020
"confID, rank",0.4062,0.5938,0.0020
"divID, GF",0.6682,0.7709,0.0030
"divID, rank",0.2298,0.7709,0.0030
"GF, rank",0.4167,1.0000,0.0020
"year, tmID, name",1.0000,1.0000,0.0040
"year, tmID, lgID",1.0000,1.0000,0.0030
"year, tmID, franchID",1.0000,1.0000,0.0030
"year, tmID, playoff",1.0000,0.6162,0.0030
"year, tmID, confID",1.0000,0.5938,0.0050
"year, tmID, divID",1.0000,0.7709,0.0030
"year, tmID, GF",1.0000,1.0000,0.0030
"year, tmID, rank",1.0000,1.0000,0.0030
"year, name, lgID",1.0000,1.0000,0.0070
"year, name, franchID",1.0000,1.0000,0.0050
"year, name, playoff",1.0000,0.6162,0.0030
"year, name, confID",1.0000,0.5938,0.0050
"year, name, divID",1.0000,0.7709,0.0040
"year, name, GF",1.0000,1.0000,0.0040
"year, name, rank",1.0000,1.0000,0.0040
"year, lgID, franchID",1.0000,1.0000,0.0050
"year, lgID, playoff",0.5451,0.6162,0.0050
"year, lgID, confID",0.4062,0.5938,0.0030
"year, lgID, divID",0.2291,0.7709,0.0030
"year, lgID, GF",0.8354,1.0000,0.0040
"year, lgID, rank",0.2357,1.0000,0.0030
"year, franchID, playoff",1.0000,0.6162,0.0030
"year, franchID, confID",1.0000,0.5938,0.0040
"year, franchID, divID",1.0000,0.7709,0.0030
"year, franchID, GF",1.0000,1.0000,0.0030
"year, franchID, rank",1.0000,1.0000,0.0040
"year, playoff, confID",0.7209,0.3766,0.0030
"year, playoff, divID",0.7841,0.4885,0.0030
"year, playoff, GF",0.9710,0.6162,0.0040
"year, playoff, rank",0.7406,0.6162,0.0030
"year, confID, divID",0.4062,0.5938,0.0020
"year, confID, GF",0.9302,0.5938,0.0030
"year, confID, rank",0.4266,0.5938,0.0030
"year, divID, GF",0.9638,0.7709,0.0040
"year, divID, rank",1.0000,0.7709,0.0040
"year, GF, rank",0.9651,1.0000,0.0030
"tmID, name, lgID",0.0171,1.0000,0.0040
"tmID, name, franchID",0.0171,1.0000,0.0040
"tmID, name, playoff",0.4608,0.6162,0.0030
"tmID, name, confID",0.4082,0.5938,0.0020
"tmID, name, divID",0.2449,0.7709,0.0030
"tmID, name, GF",0.8381,1.0000,0.0050
"tmID, name, rank",0.0994,1.0000,0.0040
"tmID, lgID, franchID",0.0158,1.0000,0.0030
"tmID, lgID, playoff",0.4595,0.6162,0.0040
"tmID, lgID, confID",0.4082,0.5938,0.0030
"tmID, lgID, divID",0.2449,0.7709,0.0030
"tmID, lgID, GF",0.8348,1.0000,0.0030
"tmID, lgID, rank",0.0994,1.0000,0.0030
"tmID, franchID, playoff",0.4595,0.6162,0.0020
"tmID, franchID, confID",0.4082,0.5938,0.0020
"tmID, franchID, divID",0.2449,0.7709,0.0030
"tmID, franchID, GF",0.8348,1.0000,0.0040
"tmID, franchID, rank",0.0994,1.0000,0.0030
"tmID, playoff, confID",0.6794,0.3766,0.0030
"tmID, playoff, divID",0.6116,0.4885,0.0030
"tmID, playoff, GF",0.9803,0.6162,0.0030
"tmID, playoff, rank",0.6043,0.6162,0.0030
"tmID, confID, divID",0.4101,0.5938,0.0020
"tmID, confID, GF",0.9408,0.5938,0.0030
"tmID, confID, rank",0.4589,0.5938,0.0030
"tmID, divID, GF",0.9355,0.7709,0.0030
"tmID, divID, rank",0.3614,0.7709,0.0050
"tmID, GF, rank",0.9664,1.0000,0.0030
"name, lgID, franchID",0.0171,1.0000,0.0030
"name, lgID, playoff",0.4608,0.6162,0.0030
"name, lgID, confID",0.4082,0.5938,0.0030
"name, lgID, divID",0.2449,0.7709,0.0030
"name, lgID, GF",0.8381,1.0000,0.0040
"name, lgID, rank",0.0974,1.0000,0.0040
"name, franchID, playoff",0.4595,0.6162,0.0030
"name, franchID, confID",0.4082,0.5938,0.0030
"name, franchID, divID",0.2449,0.7709,0.0030
"name, franchID, GF",0.8302,1.0000,0.0040
"name, franchID, rank",0.0902,1.0000,0.0030
"name, playoff, confID",0.6794,0.3766,0.0030
"name, playoff, divID",0.6116,0.4885,0.0030
"name, playoff, GF",0.9803,0.6162,0.0030
"name, playoff, rank",0.6090,0.6162,0.0030
"name, confID, divID",0.4101,0.5938,0.0030
"name, confID, GF",0.9408,0.5938,0.0030
"name, confID, rank",0.4602,0.5938,0.0020
"name, divID, GF",0.9355,0.7709,0.0040
"name, divID, rank",0.3634,0.7709,0.0030
"name, GF, rank",0.9664,1.0000,0.0040
"lgID, franchID, playoff",0.4496,0.6162,0.0030
"lgID, franchID, confID",0.4075,0.5938,0.0030
"lgID, franchID, divID",0.2330,0.7709,0.0030
"lgID, franchID, GF",0.8196,1.0000,0.0030
"lgID, franchID, rank",0.0632,1.0000,0.0030
"lgID, playoff, confID",0.6234,0.3766,0.0020
"lgID, playoff, divID",0.5188,0.4885,0.0020
"lgID, playoff, GF",0.7683,0.6162,0.0030
"lgID, playoff, rank",0.4003,0.6162,0.0030
"lgID, confID, divID",0.4062,0.5938,0.0030
"lgID, confID, GF",0.5484,0.5938,0.0030
"lgID, confID, rank",0.4062,0.5938,0.0030
"lgID, divID, GF",0.6682,0.7709,0.0030
"lgID, divID, rank",0.2298,0.7709,0.0030
"lgID, GF, rank",0.4845,1.0000,0.0040
"franchID, playoff, confID",0.6768,0.3766,0.0030
"franchID, playoff, divID",0.6076,0.4885,0.0030
"franchID, playoff, GF",0.9789,0.6162,0.0030
"franchID, playoff, rank",0.5958,0.6162,0.0030
"franchID, confID, divID",0.4082,0.5938,0.0030
"franchID, confID, GF",0.9381,0.5938,0.0030
"franchID, confID, rank",0.4549,0.5938,0.0020
"franchID, divID, GF",0.9315,0.7709,0.0030
"franchID, divID, rank",0.3496,0.7709,0.0030
"franchID, GF, rank",0.9598,1.0000,0.0030
"playoff, confID, divID",0.6261,0.3766,0.0030
"playoff, confID, GF",0.9019,0.3766,0.0030
"playoff, confID, rank",0.6300,0.3766,0.0020
"playoff, divID, GF",0.9388,0.4885,0.0030
"playoff, divID, rank",0.5609,0.4885,0.0030
"playoff, GF, rank",0.9171,0.6162,0.0030
"confID, divID, GF",0.7419,0.5938,0.0030
"confID, divID, rank",0.4068,0.5938,0.0030
"confID, GF, rank",0.8275,0.5938,0.0030
"divID, GF, rank",0.9138,0.7709,0.0030
"year, tmID, name, lgID",1.0000,1.0000,0.0050
"year, tmID, name, franchID",1.0000,1.0000,0.0040
"year, tmID, name, playoff",1.0000,0.6162,0.0030
"year, tmID, name, confID",1.0000,0.5938,0.0030
"year, tmID, name, divID",1.0000,0.7709,0.0040
"year, tmID, name, GF",1.0000,1.0000,0.0040
"year, tmID, name, rank",1.0000,1.0000,0.0050
"year, tmID, lgID, franchID",1.0000,1.0000,0.0040
"year, tmID, lgID, playoff",1.0000,0.6162,0.0030
"year, tmID, lgID, confID",1.0000,0.5938,0.0030
"year, tmID, lgID, divID",1.0000,0.7709,0.0040
"year, tmID, lgID, GF",1.0000,1.0000,0.0040
"year, tmID, lgID, rank",1.0000,1.0000,0.0040
"year, tmID, franchID, playoff",1.0000,0.6162,0.0040
